,year,administrative_area,num_issued_driving_licences,num_of_accidents,num_of_casualties_dead,num_of_casualties_injured,pop_2016,pop_2017
0,2016-01-01,Al-Baha,4614,3618,185,1227,466384.0,476172.0
1,2017-01-01,Al-Baha,4131,1414,134,1007,466384.0,476172.0
2,2016-01-01,Al-Jouf,9371,10212,245,920,497509.0,508475.0
3,2017-01-01,Al-Jouf,8091,10469,240,862,497509.0,508475.0
4,2016-01-01,Al-Qaseem,9180,25664,397,1513,1387996.0,1423935.0
5,2017-01-01,Al-Qaseem,6318,22405,319,1446,1387996.0,1423935.0
6,2016-01-01,Assir,41367,32684,983,2541,2164172.0,2211875.0
7,2017-01-01,Assir,39133,25245,828,2368,2164172.0,2211875.0
8,2016-01-01,Eastern,142307,101619,1113,4893,4780619.0,4900325.0
9,2017-01-01,Eastern,126816,81433,963,4073,4780619.0,4900325.0
10,2016-01-01,Hail,54507,10199,299,932,684619.0,699774.0
11,2017-01-01,Hail,22035,9379,265,773,684619.0,699774.0
12,2016-01-01,Jazan,11504,25873,514,2259,1533680.0,1567547.0
13,2017-01-01,Jazan,18345,22161,466,2207,1533680.0,1567547.0
14,2016-01-01,Madinah,24540,14475,822,4184,2080436.0,2132679.0
15,2017-01-01,Madinah,36165,16070,580,2917,2080436.0,2132679.0
16,2016-01-01,Makkah,136055,134838,2243,12383,8325304.0,8557766.0
17,2017-01-01,Makkah,142487,145541,1641,10623,8325304.0,8557766.0
18,2016-01-01,Najran,2153,3235,173,706,569332.0,582243.0
19,2017-01-01,Najran,13825,3193,194,766,569332.0,582243.0
20,2016-01-01,Northern Boarder,4958,13196,193,631,359235.0,365231.0
21,2017-01-01,Northern Boarder,5280,11540,112,374,359235.0,365231.0
22,2016-01-01,Riyadh,242851,141736,1430,4207,8002100.0,8216284.0
23,2017-01-01,Riyadh,495307,99925,1399,4540,8002100.0,8216284.0
24,2016-01-01,Tabouk,13610,16031,434,1724,890922.0,910030.0
25,2017-01-01,Tabouk,10232,11713,348,1243,890922.0,910030.0
